t,x,y,z,vx,vy,vz,CD,CL,Cside,Fx,Fy,Fz,Tx,Ty,Tz,rpm,steps,fresh
0.011894344,0.1642934,0.00017593574,1.7499119,38.869583,0.07463572,-0.041627157,0.92030525,0.2828762,-0.0016097154,-3.6804373,1.1235325,-0.0024189462,-0.00018664783,-0.0001150544,-0.0022899923,2707.437270501432,1488,0
0.011958293,0.16677898,0.0001807244,1.7499093,38.86796,0.07513122,-0.042255342,0.8742037,0.27644882,0.00022539716,-3.4958444,1.0980606,0.0047731455,8.0282115e-7,-0.0005347164,-0.0029021918,2707.419862929531,1496,8
0.012022241,0.16926447,0.00018554437,1.7499065,38.86642,0.07561549,-0.042880353,0.8273192,0.25248936,-0.0037593285,-3.3080552,1.0025501,-0.011306053,-7.8099154e-5,-0.00028575407,-0.0026715607,2707.3981034646554,1504,0
0.012086189,0.17174985,0.00019039397,1.7499038,38.864964,0.076057635,-0.043512456,0.7642747,0.23122813,-0.002953374,-3.0557349,0.91797376,-0.008317974,3.2315584e-5,-7.805688e-5,-0.0018920902,2707.377898247271,1512,10
0.012150138,0.17423514,0.00019527065,1.7499009,38.863617,0.07646248,-0.04414324,0.68925667,0.21024351,-0.0008775063,-2.7556198,0.834622,-0.00031955013,6.640028e-6,-9.830928e-5,-0.0020919966,2707.3635991703522,1520,0
0.012214086,0.17672035,0.00020017204,1.7498981,38.8624,0.076830566,-0.044770498,0.6209698,0.18781386,0.0002991668,-2.4824452,0.7454692,0.004105853,-0.0001261691,-0.00021285197,-0.0026319542,2707.348056695441,1528,4
0.012278034,0.17920549,0.00020509571,1.7498952,38.861305,0.07715933,-0.045395803,0.58922786,0.17185077,0.0011591084,-2.3553705,0.6818839,0.0074289776,-4.126772e-5,-0.00015786955,-0.0023383626,2707.3281623275543,1536,0
0.012341983,0.18169056,0.0002100395,1.7498922,38.860268,0.07746006,-0.046019644,0.62847406,0.15418386,0.0009234277,-2.5118935,0.6109397,0.00670589,-0.00010250206,-9.790986e-5,-0.002062963,2707.3107547556538,1544,8
0.012405931,0.18417557,0.00021500154,1.7498893,38.85916,0.07772949,-0.0466438,0.7422614,0.13681407,-0.002278901,-2.9661713,0.540593,-0.005505433,-0.00011540695,-0.00011977625,-0.0021786632,2707.2952122807424,1552,0
0.012469879,0.18666048,0.0002199798,1.7498863,38.857853,0.077967905,-0.047273345,0.8978518,0.12403008,-0.018791962,-3.5874383,0.48823172,-0.07066371,0.0004815758,0.0035517053,-0.0023667947,2707.2790481068346,1560,8
0.012533828,0.18914531,0.00022497258,1.7498832,38.85627,0.07818323,-0.047931626,0.9582895,0.10177994,-0.012274197,-3.8283298,0.3988156,-0.044277325,4.0300696e-5,0.0016776279,-0.0022694226,2707.2610188359376,1568,0
0.012597776,0.19163004,0.00022997787,1.7498801,38.85458,0.07835911,-0.04857827,0.92787856,0.078183755,-0.0027676767,-3.7063098,0.3047698,-0.006402445,-0.00032775252,-0.0002617354,-0.0023537523,2707.243922113535,1576,15
0.012661724,0.19411466,0.00023499307,1.749877,38.852947,0.07849352,-0.04920821,0.8383844,0.067235194,0.0011816764,-3.3485093,0.26173064,0.008974662,-0.00021137553,-0.0001620639,-0.0024043308,2707.226203692136,1584,0
0.012725673,0.19659917,0.00024001626,1.7498738,38.85147,0.07860895,-0.049831368,0.7305636,0.055947296,-0.010875864,-2.9176915,0.21750107,-0.039673444,-0.00022209068,0.00043137674,-0.0024425962,2707.208174421239,1592,9
0.012789621,0.1990836,0.00024504622,1.7498705,38.850185,0.07870488,-0.05047598,0.6407706,0.042506523,-0.0049282084,-2.5588355,0.16453797,-0.016343618,-0.00015043574,0.00012929933,-0.0024462042,2707.189834300844,1600,0
0.012853569,0.20156795,0.00025008156,1.7498673,38.849056,0.07877744,-0.051110305,0.63292396,0.03596758,-0.017798318,-2.5273738,0.13848262,-0.06772839,0.00017404559,0.0028025717,-0.0023005393,2707.1714941804485,1608,12
0.012917518,0.20405224,0.00025512118,1.749864,38.847942,0.07883851,-0.05176729,0.6492502,0.01679742,-0.011685855,-2.592222,0.061802838,-0.043196626,-6.8757334e-5,0.0015195928,-0.0024523581,2707.154086608548,1616,0
0.012981466,0.20653646,0.00026016362,1.7498606,38.846798,0.07886577,-0.052413456,0.6956129,0.0037905069,-0.003872785,-2.7770078,0.009495038,-0.011713135,-0.00021553837,0.00070441945,-0.002478595,2707.1357464881526,1624,14
0.013045414,0.2090206,0.00026520705,1.7498573,38.845573,0.078869954,-0.05304574,0.74981314,-0.009920651,-0.00507475,-2.9930866,-0.045678057,-0.01617206,-0.00023361378,0.00077791675,-0.002445312,2707.117095518259,1632,0
0.013109363,0.21150465,0.00027025,1.7498538,38.844254,0.07884981,-0.053679988,0.797772,-0.032462854,0.0071828878,-3.1840656,-0.13604312,0.03306643,-0.00036373592,0.0003048309,-0.0020667848,2707.0987553978634,1640,12
0.013173311,0.21398862,0.00027529037,1.7498504,38.84285,0.07878981,-0.054292522,0.8144568,-0.046975546,0.0041875006,-3.2503278,-0.1940876,0.021249827,-0.00020668685,-9.934652e-5,-0.0022782926,2707.083212922952,1648,0
0.013237259,0.21647249,0.0002803261,1.7498469,38.841415,0.07870421,-0.054910265,0.8287973,-0.064682126,-0.009681113,-3.3072557,-0.2648472,-0.033971492,-0.00042665456,0.0017061487,-0.0024343126,2707.0661162005495,1656,8
0.013301208,0.21895628,0.00028535532,1.7498434,38.83996,0.078587405,-0.055552363,0.8063489,-0.06599498,-0.0071548894,-3.2173996,-0.26987606,-0.023959773,-0.00028925523,0.0010051088,-0.0024967976,2707.047776080154,1664,0
0.013365156,0.22143997,0.000290377,1.7498398,38.83854,0.07846838,-0.056190047,0.7788724,-0.068794854,-0.016885938,-3.1075568,-0.2807968,-0.06289415,-4.4809254e-5,0.0010688606,-0.00341799,2707.029125110261,1672,4
0.013429104,0.22392358,0.00029539096,1.7498362,38.83717,0.078344546,-0.0568449,0.7541064,-0.069670215,-0.011187949,-3.0084808,-0.28406158,-0.04024538,-7.962504e-5,0.0009219925,-0.00289169,2707.0036354514064,1680,0
0.013493053,0.2264071,0.00030039693,1.7498325,38.835842,0.07821927,-0.057489768,0.790995,-0.08958396,-0.009308569,-3.1552854,-0.36378235,-0.032477606,-5.2488438e-5,0.0008603652,-0.003193356,2706.9815651370322,1688,18
0.013557001,0.22889052,0.00030539377,1.7498288,38.83445,0.07805884,-0.058131207,0.7957493,-0.08858899,-0.007382406,-3.1740255,-0.35981235,-0.024709078,-5.8548267e-5,0.0008765801,-0.0028887715,2706.9576297256685,1696,0
0.013620949,0.23137386,0.0003103804,1.7498251,38.83305,0.07790016,-0.05876922,0.80951476,-0.08350472,-0.010944523,-3.2287748,-0.339601,-0.038780842,-7.138645e-5,0.00073524885,-0.0023952823,2706.935870260793,1704,20
0.013684898,0.23385711,0.00031535717,1.7498213,38.831627,0.077750385,-0.059413437,0.8207571,-0.089333646,-0.00753411,-3.2733188,-0.36290562,-0.025051326,-5.461158e-5,0.0005211395,-0.0026139596,2706.9178409898955,1712,0
0.013748846,0.23634027,0.00032032403,1.7498175,38.830185,0.07759034,-0.0600516,0.8407599,-0.077760644,-0.016086824,-3.3530064,-0.31686318,-0.058984865,-0.0002199442,0.0022044678,-0.0035434645,2706.8979466220094,1720,4
0.013812794,0.23882334,0.00032528132,1.7498137,38.828705,0.077450596,-0.06070473,0.7766515,-0.095902234,-0.011861458,-3.096894,-0.38867345,-0.042470105,-0.00014537302,0.0014829175,-0.0030319255,2706.8712135651617,1728,0
0.013876743,0.24130632,0.00033022865,1.7498097,38.82734,0.07727918,-0.061350577,0.7058823,-0.11786268,-0.00059798243,-2.8141987,-0.475652,0.0020594543,4.371921e-5,0.0005065174,-0.0033074038,2706.8485215517912,1736,17
0.013940691,0.24378921,0.0003351638,1.7498058,38.8261,0.07706941,-0.061976783,0.6887443,-0.10188981,-0.0025841887,-2.7458172,-0.4117735,-0.005923834,3.040625e-5,0.00035253982,-0.0032562185,2706.823653591933,1744,0
0.014004639,0.24627203,0.0003400864,1.7498019,38.82489,0.07688781,-0.06260651,0.7225471,-0.09846611,-0.012833055,-2.8805327,-0.3983496,-0.04652939,-0.00023144665,0.0019121487,-0.0021788129,2706.799096481573,1752,15
0.014068588,0.24875475,0.00034499762,1.7497978,38.82362,0.07671213,-0.06325415,0.8102878,-0.090301566,-0.0076685236,-3.2302291,-0.36644736,-0.025313254,-0.0001289802,0.0012138053,-0.0024461944,2706.7829323076653,1760,0
0.014132536,0.2512374,0.00034989804,1.7497938,38.822197,0.07655052,-0.063892424,0.9599563,-0.08690706,-0.008459609,-3.8267615,-0.35405,-0.027428925,0.00018540787,0.0010276571,-0.0044971467,2706.76459218727,1768,0
0.014196484,0.25371996,0.0003547883,1.7497897,38.82051,0.07639438,-0.06453164,0.99793524,-0.091620915,-0.0068277423,-3.9777951,-0.37309504,-0.020604696,5.1530857e-5,0.0010995755,-0.0037024766,2706.730709591963,1776,0
0.014260433,0.2562024,0.0003596683,1.7497855,38.818756,0.07622983,-0.065167844,0.95427907,-0.09773463,0.0044200406,-3.8032856,-0.39707398,0.024009408,9.638371e-5,2.6512222e-5,-0.004206892,2706.7027331371232,1784,20
0.014324381,0.25868472,0.00036453747,1.7497814,38.817078,0.076054715,-0.06578437,0.8329632,-0.084049754,0.0042487257,-3.3195016,-0.34152743,0.022565199,9.666133e-5,-0.00063735497,-0.0037655183,2706.671026488304,1792,0
0.014388329,0.26116696,0.0003693962,1.7497772,38.815613,0.07590409,-0.066401534,0.7140415,-0.052415382,-0.01731734,-2.84566,-0.21447794,-0.06415173,3.6373585e-5,0.0013909678,-0.0037578838,2706.642739183965,1800,26
0.014452278,0.2636491,0.0003742471,1.7497729,38.814358,0.0758095,-0.06705694,0.63365084,-0.06920343,-0.004996286,-2.5248702,-0.2807389,-0.015546483,3.4793367e-5,0.0008703554,-0.0037056305,2706.614451879627,1808,0
0.014516226,0.26613116,0.00037909098,1.7497686,38.813244,0.07568569,-0.06769091,0.6271112,-0.08427454,0.008863523,-2.498452,-0.34072483,0.039686117,0.00010965781,0.0005203642,-0.0032979448,2706.5864754247864,1816,18
